rank,id,title,rating_count
142,415777,Les Sentiers de la gloire,72.39956511369999
143,8193990,Réalité,72.50210054223692
144,8269229,Prisoners,72.65843822811198
145,407292,Fenêtre sur cour,72.8826836941192
146,422130,Les Infiltrés,73.07262223169171
147,493176,There Will Be Blood,73.13533115050213
148,409688,Le Roi et l'Oiseau,73.14894400944911
149,410006,Porco Rosso,73.20914091777067
150,385235,La Nuit du chasseur,73.2692738421126
151,449474,Casino,73.38041032451525
152,397793,Dallas Buyers Club,73.51323360296516
153,23068056,Get Out,73.54733490620131
154,454630,Docteur Folamour,73.5591648634589
155,23227814,3 Billboards - Les Panneaux de la vengeance,73.84262044166678
156,421250,Boyhood,73.89897865806714
157,378011,Snatch - Tu braques ou tu raques,73.99550261595348
158,420119,Gravity,74.00587080337044
159,8176466,Alabama Monroe,74.07200067933559
160,21727461,Your Name.,74.26748530109298
161,414147,"Paris, Texas",74.27764098047803
162,430042,Il faut sauver le soldat Ryan,74.33567308269227
163,21806433,Moonlight,74.43650047628302
164,24698928,Dune,74.46459178277846
165,496206,Fargo,74.49582922154755
166,394207,The Social Network,74.6354887677282
167,389319,Ratatouille,74.68058679846854
168,12648863,Au revoir là-haut,74.68707938881333
169,427297,Boulevard de la mort,74.69434796560245
170,380190,M le maudit,74.73361516120404
171,35286461,1917,74.90587413890093
172,497819,Lost Highway,74.931907941461
173,489613,Sixième Sens,75.03885475237378
174,381184,The Tree of Life,75.06746526703137
175,411737,Astérix & Obélix - Mission Cléopâtre,75.06771710855054
176,21752348,Call Me by Your Name,75.0905631596183
177,384655,E.T. l'extra-terrestre,75.15776024966254
178,377422,Ghost in the Shell,75.22043259225568
179,28822859,Green Book - Sur les routes du sud,75.30893383036546
180,367492,Sin City,75.50037997426993
181,406027,Retour vers le futur 2,75.53586208914088
182,430387,Zodiac,75.76698431197549
183,17099245,Grave,75.84966677342473
184,387770,Star Wars - Épisode III : La Revanche des Sith,75.8914638030426
185,423522,Little Miss Sunshine,75.95021266054093
186,434210,La vie est belle,75.98405801215941
187,370575,Les Tontons flingueurs,75.9946027048876
188,472537,Coco,76.05645274429628
189,367774,Monstres & Cie,76.06439786945485
190,406937,Les Gardiens de la galaxie,76.42597964651095
191,478814,Virgin Suicides,76.44476817929653
192,411155,Ponyo sur la falaise,76.53843235634861
193,459866,Les Temps modernes,76.55867567512358
194,381164,Le Labyrinthe de Pan,76.55924821414426
195,427132,The Dark Knight Rises,76.60139351132901
196,414314,Le Monde de Nemo,76.80837830171481
197,22788969,120 battements par minute,76.8222722791761
198,10536888,Night Call,77.03134176585571
199,461050,Aladdin,77.08018676790397
200,395128,Toy Story 3,77.26762069081678
