rank,id,title,rating_count
142,433492,Le Retour du Jedi,37266.04206261196
143,459866,Les Temps modernes,40278.66853309774
144,421250,Boyhood,40533.683648936516
145,407292,Fenêtre sur cour,40519.29653554264
146,385235,La Nuit du chasseur,41492.89117655076
147,421236,Cloud Atlas,38982.263715479545
148,380190,M le maudit,41247.58608300504
149,8315193,Le vent se lève,38834.37618864727
150,434210,La vie est belle,40922.02232668699
151,406027,Retour vers le futur 2,35897.02887407204
152,378011,Snatch - Tu braques ou tu raques,36339.48816379564
153,21727461,Your Name.,39156.29222417262
154,21063455,La Forme de l'eau,36919.085032050505
155,489613,Sixième Sens,34309.34344994441
156,21752348,Call Me by Your Name,38933.817647599935
157,1225765,Toy Story,34653.999935397034
158,422130,Les Infiltrés,36236.21468115359
159,430042,Il faut sauver le soldat Ryan,35353.48091870338
160,12648863,Au revoir là-haut,37786.53007275487
161,497819,Lost Highway,39160.86451732004
162,370575,Les Tontons flingueurs,38161.785758700906
163,21806433,Moonlight,37216.86666792063
164,402373,Harakiri,39846.89322471563
165,365314,La Classe américaine,37916.59490260082
166,381403,Will Hunting,34933.713739454644
167,478814,Virgin Suicides,34721.31488168238
168,496206,Fargo,36370.90161392074
169,454630,Docteur Folamour,37832.088663018745
170,11134569,Premier Contact,35061.2393413478
171,377422,Ghost in the Shell,37192.82959801747
172,364974,La Cité de Dieu,37389.91680922823
173,22788969,120 battements par minute,36903.398574313134
174,24698928,Dune,36691.09964636938
175,449474,Casino,36744.31602165916
176,367492,Sin City,33414.61662033812
177,17103116,Dunkerque,33885.69586739409
178,482758,Elephant,35651.64347505236
179,398728,The Irishman,37102.525249842096
180,8269229,Prisoners,34544.622195850774
181,372529,Le Discours d'un roi,33245.731842649446
182,381164,Le Labyrinthe de Pan,34005.87483201166
183,431884,La Chasse,37056.78097809032
184,374602,Good Morning England,32929.85283495011
185,392634,Enter the Void,36864.32004045153
186,481322,Amadeus,35931.50459623032
187,465553,Thelma et Louise,35576.964396475494
188,422875,C'est arrivé près de chez vous,35437.96986717636
189,481336,Magnolia,37055.904621883186
190,382428,Arrête-moi si tu peux,30277.207311036156
191,397793,Dallas Buyers Club,34096.375985378996
192,23227814,3 Billboards - Les Panneaux de la vengeance,34665.320113995615
193,384655,E.T. l'extra-terrestre,30495.994023553656
194,386669,Un prophète,35321.6779375656
195,26144468,Once Upon a Time... in Hollywood,33054.764642674134
196,17954661,Kaamelott - Premier Volet,35941.01376021713
197,474891,Vice-versa,30932.783644192605
198,406105,Incendies,36170.332302552604
199,396075,Paprika,35799.69106868389
200,445218,Las Vegas Parano,33445.598196254316
